ticker,cik,accession_number,fiscal_year,status,file_size_bytes,flag,timestamp
A,1090872,0000950170-24-010096,2023,downloaded,2988402,,2026-03-03T13:10:04.378716+00:00
A,1090872,0000950170-25-011439,2024,downloaded,4149798,,2026-03-03T13:10:04.779988+00:00
AAPL,320193,0001308179-24-000010,2023,downloaded,1470279,,2026-03-03T13:10:05.101316+00:00
AAPL,320193,0001308179-25-000008,2024,downloaded,1230838,,2026-03-03T13:10:05.432540+00:00
ABBV,1551152,0001558370-24-003496,2023,downloaded,3122823,,2026-03-03T13:10:06.163676+00:00
ABBV,1551152,0001558370-25-003537,2024,downloaded,3281264,,2026-03-03T13:10:06.548208+00:00
ABNB,1559720,0001193125-24-102960,2023,downloaded,1052292,,2026-03-03T13:10:06.879857+00:00
ABNB,1559720,0001193125-25-096938,2024,downloaded,1028262,,2026-03-03T13:10:07.254654+00:00
ABT,1800,0001308179-24-000182,2023,downloaded,1734903,,2026-03-03T13:10:07.767172+00:00
ABT,1800,0001308179-25-000134,2024,downloaded,1960454,,2026-03-03T13:10:08.103042+00:00
ACGL,947484,0000947484-24-000035,2023,downloaded,1601591,,2026-03-03T13:10:08.436104+00:00
ACGL,947484,0000947484-25-000031,2024,downloaded,1922380,,2026-03-03T13:10:08.785521+00:00
ACN,1467373,0001467373-23-000396,2023,downloaded,2252357,,2026-03-03T13:10:09.168606+00:00
ACN,1467373,0001308179-24-000815,2024,downloaded,1919073,,2026-03-03T13:10:09.519360+00:00
ADBE,796343,0000796343-24-000051,2023,downloaded,2018611,,2026-03-03T13:10:09.913562+00:00
ADBE,796343,0000796343-25-000048,2024,downloaded,2100909,,2026-03-03T13:10:10.276517+00:00
ADI,6281,0000006281-24-000014,2023,downloaded,2011525,,2026-03-03T13:10:10.626460+00:00
ADI,6281,0000006281-25-000016,2024,downloaded,2022527,,2026-03-03T13:10:10.998886+00:00
ADM,7084,0001193125-24-091968,2023,downloaded,2275204,,2026-03-03T13:10:11.378793+00:00
ADM,7084,0001193125-25-062691,2024,downloaded,2624729,,2026-03-03T13:10:11.754874+00:00
ADP,8670,0001308179-23-000987,2023,downloaded,2379857,,2026-03-03T13:10:12.153899+00:00
ADP,8670,0001308179-24-000714,2024,downloaded,2149151,,2026-03-03T13:10:12.488459+00:00
ADSK,769397,0000769397-24-000101,2023,downloaded,1544392,,2026-03-03T13:10:12.831424+00:00
ADSK,769397,0000769397-25-000058,2024,downloaded,1990672,,2026-03-03T13:10:13.180699+00:00
AEE,1002910,0001104659-24-039037,2023,downloaded,2580338,,2026-03-03T13:10:13.586556+00:00
AEE,1002910,0001104659-25-027821,2024,downloaded,2627934,,2026-03-03T13:10:13.852987+00:00
AEP,4904,0000004904-24-000023,2023,downloaded,2179948,,2026-03-03T13:10:14.337543+00:00
AEP,4904,0000004904-25-000043,2024,downloaded,2029840,,2026-03-03T13:10:14.588133+00:00
AES,874761,0000874761-24-000023,2023,downloaded,1409553,,2026-03-03T13:10:14.942960+00:00
AES,874761,0000874761-25-000019,2024,downloaded,1630896,,2026-03-03T13:10:15.284233+00:00
AFL,4977,0000004977-24-000068,2023,downloaded,2116664,,2026-03-03T13:10:15.805873+00:00
AFL,4977,0000004977-25-000059,2024,downloaded,2204026,,2026-03-03T13:10:16.145994+00:00
AIG,5272,0000005272-24-000034,2023,downloaded,2506767,,2026-03-03T13:10:16.527277+00:00
AIG,5272,0000005272-25-000025,2024,downloaded,2138444,,2026-03-03T13:10:16.765479+00:00
AIZ,1267238,0001267238-24-000019,2023,downloaded,1981211,,2026-03-03T13:10:17.298677+00:00
AIZ,1267238,0001267238-25-000018,2024,downloaded,2005866,,2026-03-03T13:10:17.668299+00:00
AJG,354190,0000950170-24-035183,2023,downloaded,4763998,,2026-03-03T13:10:18.049551+00:00
AJG,354190,0000950170-25-043725,2024,downloaded,5738352,,2026-03-03T13:10:18.395147+00:00
