slot,cik,company_name,ticker,industry,form_type,filing_date,accession_number,edgar_url,fiscal_year,source_url,raw_html_path
1,1090872,Agilent Technologies,A,"Santa Clara, California",DEF 14A,2024-02-02,0000950170-24-010096,https://www.sec.gov/Archives/edgar/data/1090872/000095017024010096/a-20240129.htm,2023,https://www.sec.gov/Archives/edgar/data/1090872/000095017024010096/a-20240129.htm,
2,1090872,Agilent Technologies,A,"Santa Clara, California",DEF 14A,2025-01-31,0000950170-25-011439,https://www.sec.gov/Archives/edgar/data/1090872/000095017025011439/a-20250129.htm,2024,https://www.sec.gov/Archives/edgar/data/1090872/000095017025011439/a-20250129.htm,
3,320193,Apple Inc.,AAPL,"Cupertino, California",DEF 14A,2024-01-11,0001308179-24-000010,https://www.sec.gov/Archives/edgar/data/320193/000130817924000010/laapl2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/320193/000130817924000010/laapl2024_def14a.htm,
4,320193,Apple Inc.,AAPL,"Cupertino, California",DEF 14A,2025-01-10,0001308179-25-000008,https://www.sec.gov/Archives/edgar/data/320193/000130817925000008/aapl4359751-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/320193/000130817925000008/aapl4359751-def14a.htm,
5,1551152,AbbVie,ABBV,"North Chicago, Illinois",DEF 14A,2024-03-18,0001558370-24-003496,https://www.sec.gov/Archives/edgar/data/1551152/000155837024003496/abbv-20240503xdef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1551152/000155837024003496/abbv-20240503xdef14a.htm,
6,1551152,AbbVie,ABBV,"North Chicago, Illinois",DEF 14A,2025-03-24,0001558370-25-003537,https://www.sec.gov/Archives/edgar/data/1551152/000155837025003537/abbv-20250509xdef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1551152/000155837025003537/abbv-20250509xdef14a.htm,
7,1559720,Airbnb,ABNB,"San Francisco, California",DEF 14A,2024-04-19,0001193125-24-102960,https://www.sec.gov/Archives/edgar/data/1559720/000119312524102960/d636281ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1559720/000119312524102960/d636281ddef14a.htm,
8,1559720,Airbnb,ABNB,"San Francisco, California",DEF 14A,2025-04-25,0001193125-25-096938,https://www.sec.gov/Archives/edgar/data/1559720/000119312525096938/d842295ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1559720/000119312525096938/d842295ddef14a.htm,
9,1800,Abbott Laboratories,ABT,"North Chicago, Illinois",DEF 14A,2024-03-15,0001308179-24-000182,https://www.sec.gov/Archives/edgar/data/1800/000130817924000182/abt4257331-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1800/000130817924000182/abt4257331-def14a.htm,
10,1800,Abbott Laboratories,ABT,"North Chicago, Illinois",DEF 14A,2025-03-14,0001308179-25-000134,https://www.sec.gov/Archives/edgar/data/1800/000130817925000134/abt012575_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1800/000130817925000134/abt012575_def14a.htm,
